Description	
Number of Runs	500
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
359	1000	637	1	11/25/11 05:32:43 AM	
360	1000	628	1	11/25/11 05:32:44 AM	
361	1000	638	1	11/25/11 05:32:45 AM	
362	1000	628	1	11/25/11 05:32:47 AM	
363	1000	594	1	11/25/11 05:32:48 AM	
364	1000	624	1	11/25/11 05:32:49 AM	
365	1000	622	1	11/25/11 05:32:50 AM	
366	1000	673	1	11/25/11 05:32:52 AM	
367	1000	630	1	11/25/11 05:32:53 AM	
368	1000	616	1	11/25/11 05:32:54 AM	
369	1000	714	1	11/25/11 05:32:55 AM	
370	1000	608	1	11/25/11 05:32:56 AM	
371	1000	624	1	11/25/11 05:32:58 AM	
372	1000	636	1	11/25/11 05:32:59 AM	
373	1000	635	1	11/25/11 05:33:00 AM	
374	1000	640	1	11/25/11 05:33:01 AM	
375	1000	627	1	11/25/11 05:33:02 AM	
376	1000	652	1	11/25/11 05:33:04 AM	
377	1000	636	1	11/25/11 05:33:05 AM	
378	1000	661	1	11/25/11 05:33:06 AM	
379	1000	663	1	11/25/11 05:33:07 AM	
380	1000	643	1	11/25/11 05:33:09 AM	
381	1000	651	1	11/25/11 05:33:10 AM	
382	1000	639	1	11/25/11 05:33:11 AM	
383	1000	650	1	11/25/11 05:33:12 AM	
384	1000	637	1	11/25/11 05:33:13 AM	
385	1000	633	1	11/25/11 05:33:14 AM	
386	1000	648	1	11/25/11 05:33:16 AM	
387	1000	650	1	11/25/11 05:33:17 AM	
388	1000	623	1	11/25/11 05:33:18 AM	
389	1000	662	1	11/25/11 05:33:20 AM	
390	1000	687	1	11/25/11 05:33:21 AM	
391	1000	626	1	11/25/11 05:33:22 AM	
392	1000	652	1	11/25/11 05:33:23 AM	
393	1000	612	1	11/25/11 05:33:25 AM	
394	1000	685	1	11/25/11 05:33:26 AM	
395	1000	628	1	11/25/11 05:33:27 AM	
396	1000	696	1	11/25/11 05:33:28 AM	
397	1000	651	1	11/25/11 05:33:29 AM	
398	1000	651	1	11/25/11 05:33:31 AM	
399	1000	654	1	11/25/11 05:33:32 AM	
400	1000	671	1	11/25/11 05:33:33 AM	
401	1000	667	1	11/25/11 05:33:34 AM	
402	1000	654	1	11/25/11 05:33:35 AM	
403	1000	657	1	11/25/11 05:33:37 AM	
404	1000	634	1	11/25/11 05:33:38 AM	
405	1000	652	1	11/25/11 05:33:39 AM	
406	1000	628	1	11/25/11 05:33:40 AM	
407	1000	660	1	11/25/11 05:33:42 AM	
408	1000	659	1	11/25/11 05:33:43 AM	
409	1000	635	1	11/25/11 05:33:44 AM	
410	1000	656	1	11/25/11 05:33:45 AM	
411	1000	673	1	11/25/11 05:33:47 AM	
412	1000	626	1	11/25/11 05:33:48 AM	
413	1000	615	1	11/25/11 05:33:49 AM	
414	1000	636	1	11/25/11 05:33:50 AM	
415	1000	640	1	11/25/11 05:33:51 AM	
416	1000	644	1	11/25/11 05:33:53 AM	
417	1000	670	1	11/25/11 05:33:54 AM	
418	1000	646	1	11/25/11 05:33:55 AM	
419	1000	651	1	11/25/11 05:33:56 AM	
420	1000	620	1	11/25/11 05:33:58 AM	
421	1000	650	1	11/25/11 05:33:59 AM	
422	1000	664	1	11/25/11 05:34:00 AM	
